timestamp,pos,vel,start,setSpeed,waterValve,torque,waterFlow,waterTemp,P0,P1,P2,P3,T0,T1,waterPump,solenoidValve,mixer
1761225473034893300,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21043,78,20448,13041,5883,2230,32770,297,202,false,false,false
1761225473236899300,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,19079,56,20492,13111,6041,2349,32770,297,202,false,false,false
1761225473436896800,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21569,143,20470,13110,6059,2380,32770,297,202,false,false,false
1761225473629896700,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18482,78,20448,13143,5985,2350,32770,298,202,false,false,false
1761225473826527500,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18763,78,20448,13158,6060,2373,32770,298,202,false,false,false
1761225474029719300,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20113,56,20492,13076,5998,2355,32770,298,203,false,false,false
1761225474229709000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,17080,78,20470,13276,6111,2337,32770,298,203,false,false,false
1761225474435519200,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,19903,78,20492,13149,6054,2333,32770,298,203,false,false,false
1761225474637989000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20429,99,20514,13015,5915,2321,32770,298,203,false,false,false
1761225474836987000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,19798,34,20536,13177,6124,2460,32770,298,203,false,false,false
1761225475036990000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,24129,56,20558,13156,6178,2655,32770,298,203,false,false,false
1761225475236029000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20674,34,20536,13357,6342,3074,32770,298,203,false,false,false
1761225475439985000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18816,78,20580,13599,6824,3465,32770,298,203,false,false,false
1761225475637987800,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,24339,78,20536,13717,7040,3801,32770,298,203,false,false,false
1761225475843018200,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,19938,56,20536,14340,7625,4133,32770,298,203,false,false,false
1761225476045988600,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21253,121,20580,14407,7818,4330,32770,298,203,false,false,false
1761225476247779800,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20359,56,20426,14577,7962,4510,32770,298,203,false,false,false
1761225476440763000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18886,78,20514,14986,8446,4770,32770,298,203,false,false,false
1761225476633745400,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,22533,56,20448,14905,8294,4563,32770,298,203,false,false,false
1761225476835946500,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,22183,56,20536,14754,8048,4317,32770,299,203,false,false,false
1761225477034974200,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,17904,99,20536,14809,8095,4290,32770,299,203,false,false,false
1761225477233088500,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,23954,56,20536,14584,7840,4133,32770,299,209,false,false,false
1761225477427092700,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20780,56,20536,14695,7869,4154,32770,299,209,false,false,false
1761225477630087200,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18833,34,20514,14787,8084,4453,32770,299,209,true,true,false
1761225477826089500,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,22200,56,20558,14771,8182,4596,32770,299,209,true,true,false
1761225478026088000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,19868,56,20558,15172,8511,4645,32770,299,209,true,true,false
1761225478227088100,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,23024,56,20580,15003,8478,4754,32770,299,209,true,true,true
1761225478426129000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21008,4458,20602,14860,8258,4660,32770,299,209,true,true,true
1761225478625655000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,16571,10153,20602,15033,8482,4629,32770,301,209,true,true,true
1761225478825405000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,22954,14337,20536,14960,8361,4594,32770,301,224,true,true,true
1761225479027406800,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21358,17228,20536,15070,8374,4588,32770,301,224,true,true,true
1761225479228407800,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21323,19419,20536,15079,8509,4777,32770,301,224,true,true,true
1761225479425779700,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,22323,20908,20580,14958,8491,4818,32770,301,224,true,true,true
1761225479617421800,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18009,22025,20580,15290,8648,4731,32770,301,224,true,true,true
1761225479816443000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20446,22814,20580,15126,8535,4673,32770,301,224,true,true,true
1761225480017425400,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21288,23537,20558,14928,8338,4560,32770,301,224,true,true,true
1761225480216424400,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,19429,23953,20536,15160,8518,4536,32770,302,224,true,true,true
1761225480412422000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,23498,24150,20536,14888,8293,4461,32770,302,224,false,false,false
1761225480609422300,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21692,24413,20492,14844,8115,4345,32770,302,233,false,false,false
1761225480806424600,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18342,24522,20492,15016,8338,4389,32770,302,233,false,false,false
1761225481009243000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20482,24632,20492,14924,8247,4368,32770,302,233,false,false,false
1761225481205822000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20219,21850,20514,14958,8200,4293,32770,302,233,false,false,false
1761225481404820000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20306,15695,20536,14828,8183,4316,32770,302,233,false,false,false
1761225481602821600,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21867,11336,20426,14667,8017,4220,32770,302,233,false,false,false
1761225481797527300,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18658,8248,20404,14879,8115,4210,32770,303,233,false,false,false
1761225481998056200,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20026,5904,20404,14694,8006,4198,32770,303,233,false,false,false
1761225482199054600,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20254,4195,20404,14583,7905,4145,32770,303,237,false,false,false
1761225482389054500,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20096,3100,20404,14849,8164,4228,32770,303,237,false,false,false
1761225482586070800,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20920,2224,20361,14784,8094,4231,32770,303,237,false,false,false
1761225482786055000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21393,78,20383,14776,8038,4213,32770,303,237,false,false,false
1761225482986060000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18903,78,20361,14795,8177,4332,32770,303,237,false,false,false
1761225483187076000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,22183,78,20361,14819,8188,4453,32770,303,237,false,false,false
1761225483384556300,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20517,34,20339,15054,8405,4601,32770,302,237,false,false,false
1761225483586322700,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20289,78,20383,15114,8540,4687,32770,302,237,false,false,false
1761225483779315000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21253,56,20404,15035,8477,4629,32770,302,240,false,false,false
1761225483977312300,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18851,34,20361,15310,8612,4588,32770,302,240,false,false,false
1761225484177827300,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,19044,56,20361,15162,8558,4581,32770,302,240,false,false,false
1761225484375385300,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,22077,56,20361,14990,8330,4488,32770,302,240,false,false,false
1761225484573391000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20096,56,20383,15241,8617,4537,32770,302,240,false,false,false
1761225484769386000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,19605,99,20339,15119,8493,4501,32770,302,240,false,false,false
1761225484967385300,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21411,34,20361,15054,8252,4335,32770,302,240,false,false,false
1761225485165384700,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,17220,78,20361,14935,8298,4384,32770,302,240,false,false,false
1761225485366385000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21692,56,20383,14767,8139,4293,32770,302,237,false,false,false
